Name,RA,DEC,16cm,4cm,15mm,7mm,3mm
2004+064,20:07:11.9152,06:36:44.596,0.269,0.328,0.247,0.144,0.230
2004-447,20:07:55.18435,-44:34:44.2746,0.872,0.476,0.282,0.192,0.243
J2008-8408,20:08:24.80656,-84:08:50.4837,0.144,0.169,0.123,0.021,0.122
2005-489,20:09:25.391,-48:49:53.72,0.945,0.807,0.618,0.484,0.856
J2009-7134,20:09:29.10037,-71:34:40.1646,0.166,0.110,0.057,0.042,0.028
2008-068,20:11:14.215847,-06:44:03.555190,2.396,1.295,0.413,0.168,0.099
2008-159,20:11:15.710931,-15:46:40.253820,0.832,2.001,1.957,1.510,1.099
J2015-6712,20:15:00.10753,-67:12:59.0107,0.069,0.133,0.122,0.048,0.061
J2017-6824,20:17:29.34538,-68:24:55.0132,0.426,0.413,0.370,0.291,0.150
2015+083,20:18:11.3122,08:31:54.553,0.573,0.462,0.192,0.089,0.056
J2019-5201,20:19:04.39424,-52:01:39.4643,0.346,0.369,0.271,0.169,0.471
2016-615,20:21:01.323,-61:24:49.13,0.806,0.501,0.229,0.132,0.172
2019+050,20:21:35.2802,05:15:04.770,0.454,0.442,0.220,0.136,0.119
J2023-5812,20:23:28.10158,-58:12:25.2215,0.304,0.176,0.089,0.095,0.083
2021+003,20:24:22.7137,00:27:53.075,0.153,0.158,0.089,0.121,0.109
2022+031,20:25:09.632168,03:16:44.505300,0.463,0.462,0.379,0.352,0.462
J2027-7007,20:27:24.53416,-70:07:17.4089,0.358,0.269,0.241,0.235,0.195
J2027-4726,20:27:50.72287,-47:26:19.7303,0.220,0.194,0.152,0.119,0.300
J2029-5339,20:29:35.05532,-53:39:07.2953,0.181,0.138,0.101,0.108,0.173
J2035-6944,20:35:40.87117,-69:44:07.3483,0.078,0.243,0.259,0.068,0.047
2032-350,20:35:47.8091,-34:54:08.925,1.491,0.660,0.064,0.015,0.019
2030-689,20:35:48.87649459,-68:46:33.8414815,0.445,1.066,0.885,0.655,0.478
J2035-6602,20:35:51.52145,-66:02:07.5329,0.349,0.229,0.136,0.085,0.157
J2039-8128,20:39:17.70752,-81:28:03.1745,0.319,0.275,0.175,0.036,0.146
J2039-7206,20:39:58.07322,-72:06:56.2902,0.076,0.096,0.123,0.099,0.143
J2040-5735,20:40:01.10173,-57:35:09.6534,0.778,0.576,0.343,0.214,0.364
2037-253,20:40:08.772872,-25:07:46.662820,0.775,0.712,0.525,0.294,0.164
J2041-7515,20:41:21.44115,-75:15:36.6512,0.308,0.291,0.244,0.180,0.349
J2046-7400,20:46:57.16029,-74:00:04.1343,0.228,0.195,0.208,0.176,0.291
2044-027,20:47:10.3514,-02:36:22.152,1.722,0.909,0.354,0.168,0.165
2044-168,20:47:19.667018,-16:39:05.842580,0.545,0.365,0.171,0.094,0.075
J2049-4020,20:49:10.01512,-40:20:31.1355,0.196,0.264,0.252,0.202,0.231
2047+039,20:50:06.240603,04:07:48.890510,0.665,0.728,0.589,0.459,0.727
J2050-7622,20:50:58.10918,-76:22:51.2848,0.100,0.103,0.223,0.073,0.241
J2052-6523,20:52:06.71294,-65:23:11.4759,0.505,0.464,0.401,0.282,0.082
J2052-5533,20:52:13.68540,-55:33:10.0434,0.321,0.296,0.193,0.184,0.330
2049-368,20:52:17.49,-36:40:29.5,0.877,0.247,0.027,0.005,0.098
J2053-6255,20:53:05.66804,-62:55:50.9187,0.198,0.252,0.221,0.160,0.214
2052-474,20:56:16.35982597,-47:14:47.6278751,2.262,2.610,2.351,1.824,2.037
J2056-5820,20:56:30.56477,-58:20:07.5384,0.211,0.344,0.317,0.247,0.304
2054-377,20:57:41.603454,-37:34:02.989870,0.418,0.533,0.556,0.495,0.932
2058-297,21:01:01.659969,-29:33:27.836500,0.551,0.595,0.527,0.436,0.838
2059+034,21:01:38.834187,03:41:31.321590,0.544,0.609,1.072,1.317,1.404
2058-425,21:01:59.115,-42:19:16.16,1.109,0.602,0.233,0.105,0.118
J2105-4848,21:05:01.15809,-48:48:46.5228,0.739,1.058,0.824,0.515,0.470
2059-786,21:05:44.961,-78:25:34.54,0.684,0.649,0.620,0.386,0.391
2101-715,21:06:02.891,-71:22:18.03,0.860,0.571,0.274,0.152,0.075
2102-659,21:06:59.729,-65:47:43.55,1.026,0.601,0.317,0.206,0.277
2105-489,21:08:50.88,-48:46:21.80,0.913,0.580,0.288,0.174,0.173
J2108-6637,21:08:51.82096,-66:37:22.7456,0.208,0.162,0.118,0.088,0.219
2106-413,21:09:33.189,-41:10:20.60,0.980,0.963,0.619,0.421,0.533
2107-105,21:10:00.979002,-10:20:57.319410,1.416,1.046,0.582,0.385,0.547
2110-352,21:14:03.3425,-35:02:35.632,0.720,0.205,0.056,0.015,0.097
J2114-6851,21:14:13.40609,-68:51:02.2646,0.422,0.294,0.190,0.100,0.066
2111-259,21:14:40.0404,-25:41:48.835,0.511,0.241,0.128,0.059,0.065
J2116-5527,21:16:29.81610,-55:27:20.4460,0.261,0.428,0.256,0.132,0.116
2109-811,21:16:30.846,-80:53:55.22,0.477,1.130,1.166,1.158,1.716
2114+053,21:16:36.6354,05:36:17.055,0.165,0.184,0.129,0.167,0.091
2114+048,21:17:20.7575,05:03:04.114,0.306,0.381,0.423,0.300,0.491
2118+053,21:20:41.1823,05:33:45.009,0.210,0.395,0.370,0.121,0.470
2117-61,21:21:4.07432300,-61:11:24.6237242,0.879,0.684,0.394,0.244,0.400
2117-642,21:21:55.022869,-64:04:30.04192,1.220,0.594,0.195,0.094,0.041
2121+053,21:23:44.517391,05:35:22.093210,1.104,2.396,1.932,1.495,2.034
J2124-8147,21:24:55.23730,-81:47:11.9190,0.337,0.328,0.226,0.148,0.275
2122+044,21:25:29.2554,04:41:35.526,0.274,0.321,0.340,0.273,0.304
2126-158,21:29:12.175902,-15:38:41.040850,0.824,1.762,1.255,0.661,0.290
2126-185,21:29:21.419099,-18:21:22.790190,1.314,0.907,0.417,0.236,0.258
2127+085,21:30:16.2495,08:43:55.913,0.063,0.098,0.105,0.080,0.172
2128+048,21:30:32.877499,05:02:17.474690,3.290,1.838,0.673,0.363,0.218
J2130-4515,21:30:52.39066,-45:15:43.3324,0.112,0.324,0.269,0.166,0.203
2128-208,21:31:01.4866,-20:36:56.376,1.326,0.493,0.120,0.038,0.022
2128-123,21:31:35.261758,-12:07:04.795880,2.285,2.281,1.519,1.176,1.314
2131-021,21:34:10.309614,-01:53:17.238900,2.003,2.003,1.904,1.510,4.173
J2134-6513,21:34:13.23526,-65:13:37.1680,0.186,0.214,0.220,0.208,0.488
J2135-5006,21:35:20.15104,-50:06:51.7322,0.310,0.331,0.236,0.177,
J2135-6848,21:35:49.88285,-68:48:33.9264,0.197,0.177,0.122,0.077,0.074
J2136-6335,21:36:22.07483,-63:35:51.0380,0.240,0.341,0.283,0.211,0.145
2134+004,21:36:38.586299,00:41:54.213350,6.060,10.733,6.867,3.958,3.471
2135-209,21:37:50.0018,-20:42:31.751,2.771,1.344,0.471,0.262,0.205
2134-470,21:38:01.056,-46:46:40.06,1.117,0.641,0.242,0.104,0.095
2135-248,21:38:37.181102,-24:39:54.466150,0.878,0.745,0.505,0.424,0.428
J2141-6411,21:41:46.44121,-64:11:14.4783,0.185,0.228,0.461,0.515,0.323
2140-048,21:42:36.901689,-04:37:43.512810,0.463,0.428,0.321,0.264,0.846
2143-156,21:46:22.979340,-15:25:43.885260,0.466,0.487,0.615,0.566,0.667
J2147-7812,21:47:05.84046,-78:12:21.9096,0.375,0.364,0.471,0.442,0.717
2144+092,21:47:10.162971,09:29:46.672450,0.991,0.593,0.884,0.904,0.384
2142-758,21:47:12.730,-75:36:13.22,1.966,1.884,1.289,0.802,0.985
J2147-5526,21:47:45.15361,-55:26:23.7463,0.371,0.248,0.132,0.088,0.083
2145+067,21:48:05.458679,06:57:38.604220,3.346,3.539,3.232,3.161,4.235
2146-133,21:49:28.6525,-13:04:25.161,0.946,0.119,0.048,0.024,0.014
2147+077,21:49:35.2640,07:56:25.355,0.710,0.459,0.249,0.184,0.200
J2150-6802,21:50:13.39063,-68:02:50.4099,0.181,0.247,0.216,0.159,0.060
J2151-6409,21:51:01.21376,-64:09:07.7523,0.143,0.149,0.114,0.117,0.112
2149+069,21:51:31.429323,07:09:26.783920,0.901,1.268,0.803,0.772,0.379
2149+056,21:51:37.875501,05:52:12.954350,0.739,0.819,0.398,0.247,0.171
2149-306,21:51:55.524,-30:27:53.69,1.773,1.599,1.135,0.905,2.367
2146-783,21:52:03.155,-78:07:06.64,0.847,0.758,0.286,0.126,0.013
2149-287,21:52:03.7352,-28:28:28.218,2.268,1.150,0.407,0.151,0.157
J2157-7549,21:57:59.22472,-75:49:53.6063,0.601,0.554,0.487,0.361,0.506
2155-152,21:58:06.281901,-15:01:09.328090,4.648,4.848,4.470,3.540,2.134
J2158-4719,21:58:40.20287,-47:19:26.5536,0.336,0.131,0.109,0.063,0.019
2155-304,21:58:52.065093,-30:13:32.118420,0.345,0.353,0.397,0.367,
J2200-5520,22:00:54.66807,-55:20:07.9291,0.258,0.279,0.343,0.315,0.450
2158+029,22:01:27.5079,03:12:15.142,0.251,0.199,0.170,0.174,0.021
J2202-8338,22:02:19.23470,-83:38:11.8277,0.870,0.783,0.434,0.502,0.349
J2203-6130,22:03:59.63757,-61:30:22.0094,0.485,0.631,0.354,0.239,0.258
J2205-8653,22:05:45.86292,-86:53:47.6981,0.274,0.323,0.230,0.166,0.096
J2206-7735,22:06:44.45946,-77:35:23.7610,0.156,0.202,0.138,0.034,0.084
J2207-5707,22:07:54.00213,-57:07:36.6686,0.306,0.165,0.054,0.030,0.014
2205-636,22:08:47.24170012,-63:25:47.4874843,0.938,0.591,0.297,0.190,0.228
2210-257,22:13:02.497951,-25:29:30.079710,0.918,0.730,0.776,0.318,0.353
J2213-6330,22:13:34.76253,-63:30:01.5326,0.335,0.266,0.180,0.129,0.086
2211-388,22:14:38.569,-38:35:45.00,1.497,0.872,0.417,0.243,0.130
J2215-6609,22:15:45.29428,-66:09:13.6745,0.491,0.289,0.121,0.093,0.056
2213-456,22:16:56.09,-45:21:42.20,1.371,0.529,0.154,0.062,0.013
J2217-7044,22:17:46.73481,-70:44:53.3309,0.230,0.305,0.306,0.250,0.112
2215-508,22:18:19.025063,-50:38:41.73103,0.975,0.503,0.145,0.072,
2216-281,22:19:40.9420,-27:56:26.860,1.322,0.369,0.090,0.003,0.000
2223-052,22:25:47.259291,-04:57:01.390730,6.031,4.357,3.825,1.807,1.929
J2227-5219,22:27:08.47979,-52:19:50.9648,0.076,0.183,0.134,0.091,
J2229-6910,22:29:00.17710,-69:10:30.2761,0.608,0.693,0.685,0.638,
2226-411,22:29:18.61,-40:51:31.59,2.122,0.838,0.248,0.071,0.012
2226-386,22:29:46.897,-38:23:59.65,1.018,0.315,0.046,0.020,0.001
J2230-6310,22:30:10.33801,-63:10:43.2999,0.156,0.111,0.096,0.074,
2227-399,22:30:40.279,-39:42:52.06,0.252,0.414,0.428,0.383,0.357
J2230-4416,22:30:56.44293,-44:16:29.8914,0.553,0.546,0.541,0.453,0.299
J2231-6231,22:31:07.91858,-62:31:19.3413,0.308,0.320,0.254,0.193,
2230+114,22:32:36.408914,11:43:50.904100,5.996,4.718,3.573,,
2232-488,22:35:13.237,-48:35:58.79,1.343,1.227,1.683,1.686,1.114
J2239-5525,22:39:06.03439,-55:25:59.4084,0.191,0.228,0.182,0.112,
2239+096,22:41:49.717334,09:53:52.445290,0.417,0.651,0.373,,0.295
2240-260,22:43:26.408781,-25:44:30.687300,0.832,0.667,0.591,0.357,0.381
J2243-5656,22:43:53.21811,-56:56:19.7191,0.189,0.215,0.105,0.081,
J2246-5607,22:46:16.79167,-56:07:46.0031,0.288,0.306,0.329,0.250,
2243-123,22:46:18.231976,-12:06:51.277340,1.656,2.357,1.926,1.967,1.856
2244-372,22:47:3.91732702,-36:57:46.3038418,0.985,0.972,0.775,0.520,0.343
2245-328,22:48:38.686,-32:35:52.19,0.552,0.636,0.767,0.740,1.044
2251+158,22:53:57.747932,16:08:53.560890,13.096,15.879,48.046,33.605,13.747
2251+006,22:54:04.4071,00:54:20.965,0.525,0.543,0.355,0.278,0.245
J2254-5926,22:54:56.82855,-59:26:00.6847,0.250,0.262,0.301,0.253,
2252-089,22:55:04.239787,-08:44:04.021710,0.611,0.420,0.457,0.194,0.231
J2256-6533,22:56:24.87181,-65:33:25.6504,0.209,0.139,0.112,0.074,
2254-367,22:57:10.607977,-36:27:43.99694,1.266,1.036,0.584,0.370,0.211
2254+024,22:57:17.563087,02:43:17.511810,0.245,0.166,0.307,0.215,0.148
2255-282,22:58:05.962888,-27:58:21.256750,1.543,1.735,1.469,1.564,5.557
J2258-7014,22:58:31.56329,-70:14:39.7288,0.504,0.119,0.159,0.125,
2258+033,23:00:40.8860,03:37:10.846,0.636,0.335,0.260,0.129,0.136
2259-375,23:02:23.894778,-37:18:06.82368,1.983,0.854,0.292,0.135,0.020
J2302-4533,23:02:40.04846,-45:33:57.9924,0.416,0.181,0.125,0.106,0.128
2300-307,23:03:05.821190,-30:30:11.473180,0.446,0.275,0.151,0.087,0.036
J2303-5406,23:03:51.88991,-54:06:46.0418,0.224,0.303,0.290,0.240,
J2306-6521,23:06:59.43480,-65:21:32.4025,0.402,0.354,0.126,0.056,
2305-418,23:07:54.3358,-41:32:42.812,0.998,0.113,0.029,0.011,0.013
J2308-4557,23:08:52.83671,-45:57:56.1908,0.135,0.146,0.213,0.185,0.261
2310-417,23:12:55.626,-41:26:55.77,0.988,0.510,0.146,0.062,0.012
J2312-6607,23:12:58.84008,-66:07:31.7380,0.133,0.199,0.226,0.170,
2311-477,23:13:51.900,-47:29:11.97,0.908,0.582,0.217,0.134,0.017
2311-452,23:14:09.382794,-44:55:49.23780,1.929,1.285,0.630,0.357,0.147
2312-319,23:14:48.501,-31:38:39.52,0.622,0.581,0.518,0.404,0.221
J2315-5018,23:15:44.33026,-50:18:39.7034,0.468,0.695,1.189,1.018,0.437
2313-438,23:16:21.101,-43:37:46.76,0.934,0.608,0.338,0.210,0.150
2314+038,23:16:35.2098,04:05:18.148,2.520,0.446,0.257,0.086,0.036
2314-340,23:16:43.38641,-33:49:12.4860,0.542,0.480,0.079,0.013,0.004
2318+049,23:20:44.856598,05:13:49.952660,0.686,1.238,1.396,0.761,0.794
2318-166,23:21:01.9589,-16:23:05.187,1.539,0.493,0.148,0.060,0.025
2320+079,23:22:36.089472,08:12:01.592800,0.846,0.656,0.423,,0.105
2320-035,23:23:31.953757,-03:17:05.023800,1.110,1.283,1.594,1.303,0.798
2321-375,23:24:7.11184372,-37:14:22.4553778,0.535,0.827,0.999,0.765,0.629
2322-411,23:25:03.38079,-40:51:30.0727,1.330,0.658,0.227,0.112,0.039
2322-123,23:25:19.7730,-12:07:27.091,1.087,0.220,0.070,0.045,0.022
J2325-4800,23:25:26.87324,-48:00:17.2612,0.284,0.244,0.208,0.170,0.193
2323+009,23:26:25.6437,01:12:08.681,0.185,0.191,0.217,0.096,0.229
2323-407,23:26:34.1,-40:27:17.7,2.191,0.902,0.207,0.018,0.003
2325+093,23:27:33.580579,09:40:09.462780,0.526,0.444,0.446,0.784,0.859
J2327-4510,23:27:41.05885,-45:10:56.2768,0.308,0.323,0.274,0.205,0.155
J2327-6644,23:27:45.31577,-66:44:42.4468,0.307,0.243,0.171,0.124,
J2328-4035,23:28:19.26488,-40:35:09.8463,0.367,0.433,0.579,0.585,0.706
2326+082,23:29:05.7862,08:34:15.846,0.274,0.322,0.362,,0.225
2326-477,23:29:17.704,-47:30:19.11,2.743,2.106,1.749,1.804,1.090
2326-502,23:29:20.88159,-49:55:40.6496,0.663,0.446,0.438,0.427,
2327-459,23:30:37.68057,-45:39:58.1032,0.913,0.497,0.212,0.138,0.135
2329-384,23:31:59.476,-38:11:47.65,0.696,1.005,0.548,0.299,0.111
2330+083,23:32:57.596284,08:38:10.427150,0.354,0.425,0.445,,0.209
2331+073,23:34:12.828194,07:36:27.552040,0.631,0.721,0.994,0.510,1.072
J2334-5251,23:34:44.91717,-52:51:19.6363,0.771,1.085,0.735,0.462,
2333-528,23:36:12.145,-52:36:21.95,1.766,1.634,1.068,0.720,0.297
J2337-5216,23:37:23.16708,-52:16:20.1075,0.490,0.429,0.216,0.120,
J2337-5901,23:37:26.79595,-59:01:13.6657,0.061,0.113,0.144,0.093,
2335-027,23:37:57.339089,-02:30:57.629370,0.468,0.855,0.843,0.407,0.866
2337-334,23:39:54.53523,-33:10:16.8816,1.136,0.868,0.526,0.314,0.160
2338+000,23:41:06.9102,00:18:33.305,0.078,0.275,0.176,0.086,0.079
2339-353,23:41:45.87,-35:06:22.20,1.278,0.436,0.104,0.002,0.004
J2343-7038,23:43:21.59113,-70:38:39.7111,0.134,0.130,0.090,0.077,
J2343-5626,23:43:27.09832,-56:26:24.1035,0.168,0.115,0.099,0.050,
2344+092,23:46:36.838558,09:30:45.514970,1.457,1.242,0.793,0.668,0.183
2344+068,23:46:39.933385,07:05:06.846400,0.116,0.205,0.206,,0.198
J2347-4946,23:47:43.68603,-49:46:27.8814,0.266,0.398,0.399,0.329,
2345-167,23:48:02.608516,-16:31:12.022020,2.121,2.305,1.687,1.875,3.105
2346+052,23:49:21.0519,05:34:39.849,0.328,0.228,0.264,,0.250
J2349-4932,23:49:25.37976,-49:32:26.5541,0.368,0.399,0.352,0.299,
2351-154,23:54:30.195190,-15:13:11.213010,0.905,0.943,0.801,0.400,0.429
2353-686,23:56:00.682,-68:20:03.47,0.942,1.530,1.045,0.591,0.245
J2357-4838,23:57:21.02964,-48:38:18.2598,0.299,0.305,0.233,0.183,0.204
2354-117,23:57:31.197570,-11:25:39.176340,1.718,1.599,0.873,0.591,0.356
2355-534,23:57:53.266,-53:11:13.69,1.407,1.823,1.682,1.339,1.496
J2358-4555,23:58:02.14056,-45:55:18.8622,0.226,0.451,0.517,0.353,0.254
2355-106,23:58:10.882409,-10:20:08.611260,0.911,1.020,0.742,0.738,0.776
2357-318,23:59:35.4940,-31:33:43.820,0.708,0.671,0.405,0.314,0.292
