Name,RA,DEC,16cm,4cm,15mm,7mm,3mm
0427-345,04:29:47.2210,-34:26:41.760,0.345,0.108,0.019,0.009,0.118
J0430-6132,04:30:22.01023,-61:32:00.6721,0.165,0.179,0.138,0.115,0.133
J0431-6406,04:31:28.10274,-64:06:31.3682,0.322,0.336,0.186,0.107,0.008
0430+052,04:33:11.095535,05:21:15.619420,2.751,3.483,3.201,6.828,1.782
J0433-6030,04:33:34.10844,-60:30:13.7697,0.356,0.318,0.442,0.380,0.382
J0434-4355,04:34:03.21386,-43:55:47.7676,0.338,0.261,0.175,0.077,0.006
0434-188,04:37:01.482736,-18:44:48.613410,0.999,0.824,0.521,0.355,0.044
0437-454,04:39:00.855,-45:22:22.56,0.576,1.402,0.632,0.449,0.665
0438-436,04:40:17.180,-43:33:08.60,3.525,1.597,1.523,1.434,0.249
J0440-6952,04:40:47.75743,-69:52:18.0881,0.226,0.330,0.304,0.330,0.236
0439-337,04:41:33.76806,-33:40:03.9172,1.093,0.678,0.270,0.141,0.055
J0441-5154,04:41:58.27735,-51:54:54.1699,0.366,0.414,0.335,0.256,0.242
0440-003,04:42:38.660762,-00:17:43.419100,2.336,2.024,1.454,0.929,0.430
0442+071,04:45:01.428730,07:15:53.914030,0.213,0.171,0.245,0.268,0.052
0445-221,04:47:37.2822,-22:03:36.8051,1.338,0.461,0.101,0.032,0.031
J0449-6106,04:49:24.36344,-61:06:26.8437,0.266,0.228,0.175,0.162,0.134
J0449-4809,04:49:39.59009,-48:09:40.7109,0.138,0.092,0.041,0.087,0.168
0448-392,04:49:42.25469,-39:11:09.4696,0.721,0.777,0.571,0.349,0.247
0454-810,04:50:05.439,-81:01:02.23,0.912,1.735,1.464,1.900,1.175
J0451-4428,04:51:24.65627,-44:28:50.8985,0.109,0.084,0.119,0.100,0.069
0450-469,04:51:53.34511,-46:53:19.8890,0.233,0.243,0.321,0.240,0.114
J0452-8535,04:52:34.29786,-85:35:18.2446,0.447,0.643,0.565,0.382,0.388
0450+013,04:53:02.2386,01:28:35.625,0.086,0.227,0.309,0.204,0.159
0451-282,04:53:14.646807,-28:07:37.327600,2.070,2.069,2.201,2.175,1.437
0453-206,04:55:23.6635,-20:34:14.511,0.362,0.018,0.005,0.017,0.005
0454-463,04:55:50.77247716,-46:15:58.6802029,3.096,2.522,2.181,1.552,1.138
J0456-4041,04:56:32.31412,-40:41:22.3558,0.166,0.218,0.231,0.213,0.039
0454+039,04:56:47.174725,04:00:52.947300,0.230,0.359,0.418,0.260,0.127
0454-234,04:57:03.179230,-23:24:52.020050,1.203,2.613,2.866,2.198,1.304
0454+066,04:57:07.709927,06:45:07.260640,0.542,0.490,1.048,1.546,0.714
0457+024,04:59:52.050664,02:29:31.176310,1.610,0.905,0.435,0.203,0.046
0458-020,05:01:12.809888,-01:59:14.256200,0.628,2.292,3.313,3.262,1.207
0459+060,05:02:15.445934,06:09:07.494300,1.012,1.076,0.642,0.366,0.231
0500+019,05:03:21.197177,02:03:04.676380,2.312,1.693,0.729,0.374,0.049
0502+049,05:05:23.184723,04:59:42.724480,0.553,0.741,0.708,1.031,0.383
J0505-7914,05:05:43.17317,-79:14:38.9954,0.148,0.229,0.231,0.157,0.030
0506-612,05:06:43.988715,-61:09:40.99318,1.430,1.119,0.882,0.625,
J0507-6104,05:07:54.67104,-61:04:43.1165,0.485,0.466,0.395,0.311,0.295
0506+056,05:09:25.964466,05:41:35.333530,0.484,0.563,0.444,0.337,0.396
J0510-8419,05:10:11.62513,-84:19:28.5199,0.177,0.188,0.182,0.129,0.214
0509+011,05:11:57.612491,01:10:49.435480,0.303,0.328,0.261,0.231,0.160
0511+009,05:13:40.032514,01:00:21.654410,0.153,0.261,0.162,0.101,0.055
0511-220,05:13:49.114326,-21:59:16.092020,0.697,0.689,0.934,0.699,0.353
J0514-4554,05:14:43.95966,-45:54:35.5721,0.141,0.248,0.238,0.209,0.228
0515-674,05:15:37.564,-67:21:27.78,1.175,0.556,0.195,0.099,0.032
J0515-4556,05:15:45.25018,-45:56:43.1982,0.694,0.836,0.668,0.837,0.803
0514-161,05:16:15.929354,-16:03:07.634560,0.401,0.532,0.706,0.495,0.274
0515+067,05:17:51.344149,06:48:03.210710,0.531,0.432,0.234,0.153,0.089
J0518-6935,05:18:32.58619,-69:35:21.3612,0.218,0.154,0.112,0.092,0.084
0516+087,05:19:10.8113,08:48:56.717,0.352,0.441,0.428,0.384,0.262
0518+165,05:21:09.886021,16:38:22.051220,6.308,3.880,2.365,1501.040,0.022
0519-208,05:21:38.8950,-20:47:39.388,0.890,0.250,0.049,0.006,0.205
0519+011,05:22:17.467439,01:13:31.186300,0.464,0.838,0.358,0.204,0.129
0522-611,05:22:34.425,-61:07:57.14,0.636,0.410,0.236,0.188,0.152
0521-365,05:22:57.984651,-36:27:30.850920,1.885,2.550,4.010,4.032,5.831
J0524-5658,05:24:40.24439,-56:58:51.5597,0.858,0.571,0.396,0.247,0.141
J0525-5725,05:25:58.56950,-57:25:07.9087,0.538,0.369,0.222,0.185,0.119
0524+034,05:27:32.705431,03:31:31.516650,0.237,0.351,0.393,0.478,0.449
